,loss,accuracy,Custom_Hamming_Loss,val_loss,val_accuracy,val_Custom_Hamming_Loss
0,0.3276294767856598,0.04237091913819313,0.2068953812122345,0.2299300581216812,0.06018518656492233,0.12832893431186676
1,0.13724388182163239,0.058346837759017944,0.08668293803930283,0.23594766855239868,0.06018518656492233,0.14142391085624695
2,0.08810022473335266,0.059504516422748566,0.06122734025120735,0.24871715903282166,0.06018518656492233,0.11332045495510101
3,0.06714718788862228,0.05672609433531761,0.04625929519534111,0.2849239706993103,0.06018518656492233,0.11109267175197601
4,0.054585058242082596,0.0611252598464489,0.03744538873434067,0.3310151696205139,0.06111111119389534,0.1336941421031952
5,0.0444699265062809,0.09330863505601883,0.028744783252477646,0.3118409216403961,0.06111111119389534,0.11595121026039124
6,0.03355628624558449,0.12294512987136841,0.021349020302295685,0.28512805700302124,0.06111111119389534,0.10165014863014221
7,0.026446690782904625,0.15512850880622864,0.016891272738575935,0.2985876202583313,0.06111111119389534,0.11890467256307602
8,0.021154314279556274,0.27923130989074707,0.013715343549847603,0.2938387095928192,0.07222222536802292,0.13583023846149445
9,0.014392761513590813,0.19124796986579895,0.009834891185164452,0.38833099603652954,0.06111111119389534,0.1745728850364685
